Irrigation Pumping File for SWAT-MODFLOW
Irrigation Pumping File for SWAT-MODFLOW
0
Sub	Row	Column	Lay	HRU_ID
136	40	80	1	83
136	40	80	1	78
90	106	92	1	1311
90	106	92	1	1308
129	60	108	1	195
129	60	108	1	193
16	88	67	1	913
16	88	67	1	912
55	34	90	1	94
55	34	90	1	90
22	71	61	1	602
22	71	61	1	597
38	57	87	1	228
38	57	87	1	224
89	105	83	1	1254
89	105	83	1	1249
29	87	52	1	845
29	87	52	1	842
109	77	88	1	688
109	77	88	1	684
89	103	82	1	1254
89	103	82	1	1249
91	101	84	1	1093
91	101	84	1	1090
139	20	85	1	10
139	20	85	1	5
100	82	41	1	944
100	82	41	1	942
25	57	71	1	337
25	57	71	1	335
55	36	93	1	94
55	36	93	1	90
89	110	82	1	1254
89	110	82	1	1249
35	65	61	1	392
35	65	61	1	391
17	118	71	1	1295
17	118	71	1	1293
25	63	67	1	337
25	63	67	1	335
134	45	68	1	107
134	45	68	1	106
97	105	48	1	1192
97	105	48	1	1189
106	82	25	1	956
106	82	25	1	955
31	94	102	1	1056
31	94	102	1	1055
137	29	108	1	36
137	29	108	1	32
14	114	72	1	1228
14	114	72	1	1226
17	114	83	1	1295
17	114	83	1	1293
15	97	70	1	1122
15	97	70	1	1117
31	88	106	1	1056
31	88	106	1	1055
17	118	76	1	1295
17	118	76	1	1293
14	116	71	1	1228
14	116	71	1	1226
137	34	108	1	36
137	34	108	1	32
130	48	66	1	177
130	48	66	1	176
127	55	65	1	240
127	55	65	1	235
35	68	62	1	392
35	68	62	1	391
26	101	100	1	1104
26	101	100	1	1103
17	122	75	1	1295
17	122	75	1	1293
17	112	84	1	1295
17	112	84	1	1293
118	58	20	1	366
118	58	20	1	365
67	67	39	1	587
67	67	39	1	586
45	81	104	1	619
45	81	104	1	611
21	106	58	1	1280
21	106	58	1	1277
17	119	81	1	1295
17	119	81	1	1293
132	49	106	1	164
132	49	106	1	158
107	75	74	1	658
107	75	74	1	652
109	77	94	1	688
109	77	94	1	684
102	85	83	1	862
102	85	83	1	861
99	94	47	1	1046
99	94	47	1	1043
21	104	59	1	1280
21	104	59	1	1277
97	104	47	1	1192
97	104	47	1	1189
26	105	92	1	1104
26	105	92	1	1103
31	91	101	1	1056
31	91	101	1	1055
129	51	114	1	195
129	51	114	1	193
25	67	65	1	337
25	67	65	1	335
108	87	111	1	673
108	87	111	1	667
107	92	69	1	658
107	92	69	1	652
37	83	106	1	897
37	83	106	1	896
120	64	35	1	510
120	64	35	1	507
21	109	60	1	1280
21	109	60	1	1277
104	80	20	1	880
104	80	20	1	873
34	79	52	1	770
34	79	52	1	764
29	90	54	1	845
29	90	54	1	842
53	80	39	1	751
53	80	39	1	750
103	85	120	1	977
103	85	120	1	975
136	38	74	1	83
136	38	74	1	78
134	51	49	1	107
134	51	49	1	106
102	99	84	1	862
102	99	84	1	861
122	68	24	1	468
122	68	24	1	464
132	54	92	1	164
132	54	92	1	158
45	79	106	1	619
45	79	106	1	611
14	109	70	1	1228
14	109	70	1	1226
21	117	65	1	1280
21	117	65	1	1277
17	120	71	1	1295
17	120	71	1	1293
90	109	86	1	1311
90	109	86	1	1308
123	70	80	1	496
123	70	80	1	494
121	65	47	1	479
121	65	47	1	478
31	94	101	1	1056
31	94	101	1	1055
14	115	70	1	1228
14	115	70	1	1226
